time,backoff_time
751607,142
4651579,223
4903090,43
5897591,52
7994008,196
14570819,133
16511554,115
18423000,160
27823070,142
28538562,286
38365604,169
38457503,88
39139105,205
39436873,268
41428809,286
41714561,115
44283080,268
49031078,250
51500294,124
52963619,187
56618004,88
58430745,133
62950101,106
63438818,124
68223281,115
68694614,196
77417023,295
78823390,115
80451380,43
90513482,304
91288434,277
92324465,250
96842102,43
97306342,79
98625095,70
100251361,205
101032831,214
106225569,43
106313097,106
117163934,304
123266447,232
129179089,106
129777614,106
132134611,70
133047094,169
135524087,70
136372619,268
136790595,70
141899590,97
143415525,61
145695991,277
145963905,43
146801928,277
146813620,169
154941898,286
155065103,151
156219096,277
157094946,88
159303095,205
159373831,304
160314434,169
161837594,259
163248120,205
165588391,187
168902716,88
174170388,250
174338526,205
177655535,97
177881692,232
177980437,205
178906001,61
179242976,79
183985845,178
189313109,169
189883081,313
192961483,196
194301784,232
199174949,142
199577300,160
201655929,178
201940548,250
203703620,79
204407438,241
205056819,160
210372312,313
210946799,205
212685069,232
219448567,97
219478104,232
220153608,295
220800339,115
224361889,250
226237525,88
227141019,223
228158273,142
229236296,61
232092716,115
232469318,115
240908918,79
241183940,88
241497056,205
242372786,106
245629441,205
246701556,277
248913088,115
249910473,169
252839452,115
253817030,151
256642018,124
258449070,97
266723294,88
266816612,178
269383691,214
271121117,88
271589602,88
273959040,106
274675868,124
280872531,52
281012028,250
290339620,250
290723942,187
291919411,124
292793775,79
297378064,133
302088390,205
302704483,79
313171686,178
313577912,295
317099532,106
317309117,196
320533278,124
322725059,169
322799963,178
325017001,277
326060296,124
328321075,286
334563075,88
336255550,268
340733427,142
344366731,88
347222414,259
347315663,124
353154395,241
358565112,43
364013343,169
364048388,241
364693939,205
365218859,79
365619276,259
375975112,97
376929533,223
377463203,97
381536607,52
383031049,187
383510919,61
387236400,124
401585006,304
409657117,52
410306991,250
415957437,196
420403057,178
426912294,70
428814078,70
429657098,250
432571600,286
436610368,241
437002263,277
437842602,187
438901802,205
443515928,187
454391001,88
455068413,88
457231525,250
457422465,97
457578053,88
459406315,250
460569258,178
464527931,304
468545539,313
470211593,277
477438582,178
479288090,106
479468396,277
482874517,250
485417032,205
485615085,295
487168900,97
487758468,115
490446034,223
490916519,133
492807366,133
493947108,277
499464500,223
504980859,205
508701886,250
510140907,250
511642609,295
511666119,43
513313497,133
517694376,241
517956037,268
521819109,43
524371115,178
529000563,277
532063605,61
539631312,106
541889819,196
548600347,97
548978293,70
550568585,160
550920459,196
551369557,295
552686115,61
555505816,295
558484034,241
558966543,43
559375251,115
563564115,52
563750519,70
564744056,160
568261580,250
568442552,196
572964090,79
574238112,115
577232053,304
587377983,124
587407423,241
588048736,178
588641714,304
590311595,43
594585530,322
595500492,124
595911587,223
597948592,313
601614993,259
602360620,61
604127580,277
606203589,70
607421115,178
608269784,277
609587023,250
617668565,304
617785022,169
623853563,187
625136001,142
626440454,223
631099577,169
636543617,115
639515225,106
643060620,97
646194047,43
647541961,52
648277587,214
650420615,259
652014454,115
652043798,250
658354987,187
658540444,304
658558334,106
664193383,205
664280928,304
668755101,151
673657120,115
675815254,61
677014978,97
680167111,43
680967506,169
685785890,313
685920583,160
686315209,187
699151571,151
709577036,97
709956484,160
725716046,277
726383904,295
730387062,250
730514784,142
737853616,178
742474528,70
742538504,70
747515758,124
754024745,322
757382524,43
758733588,304
763289604,169
766717189,142
767020814,169
768830619,124
769758467,151
770333091,61
772353093,322
774058922,232
774786530,124
778512563,79
780855061,178
782135376,187
782461601,295
784921392,241
790805595,277
792033620,151
792421806,133
797620069,124
797811031,151
799366560,79
800757927,250
805832993,151
823376446,151
824337117,106
833319111,187
834140081,160
834628018,61
839454606,133
839478190,286
841346571,277
842990237,259
843505484,88
847878587,151
849746596,232
850774763,187
854456544,286
854806989,268
869972811,133
872319558,106
876009688,160
881516943,151
886324970,295
886994023,232
888026051,70
888801107,43
889517620,295
893874953,313
904289824,214
904313699,70
910872022,178
914333081,88
915568017,313
916135003,205
922225020,70
941922114,178
942172520,214
942602087,304
943820541,61
945927090,241
947339885,88
948520620,178
956765301,79
962088438,295
963613037,268
965513612,106
969894591,223
970315016,97
978147260,169
983772867,142
984363113,61
984461724,124
988455969,268
990315792,205
994216287,250
997153049,79
998447956,259
999057807,196
1001000530,160
1001531104,88
1005789557,79
1008461278,178
1010903272,97
1014142533,187
1014295419,43
1014701108,124
1015219390,250
1015498907,178
1016157997,223
1017212097,106
1017299618,106
1021998250,169
1025926006,322
1033097061,241
1035111455,178
1035223423,295
1046414607,241
1048377038,214
1050154116,88
1051811109,115
1051904498,214
1066518050,187
1068101613,124
1072287077,169
1073391481,151
1075271618,142
1075880431,70
1077510060,313
1079856560,322
1086996289,160
1090174790,160
1096003620,142
1096183778,205
1103304804,286
1103841336,295
1104923117,286
1107046050,205
1122830997,160
1123290863,133
1124812111,268
1132139008,268
1139249106,160
1140270027,214
1143988183,61
1146633115,52
1150493097,52
1153937586,88
1154721617,70
1156725547,97
1157484270,142
1162112607,178
1165608864,79
1169496477,115
1171304109,106
1173427536,205
1174101588,160
1177424931,214
1180195554,70
1181951038,196
1183335773,232
1185045833,286
1187578728,205
1194078564,286
1194311881,322
1195479598,142
1203402032,97
1212285030,88
1214859000,187
1218429360,286
1218667986,187
1223091111,214
1223509504,232
1224231550,259
1231037549,286
1239115854,223
1241367882,169
1246283554,196
1247717084,268
1247925872,250
1247961466,169
1248665381,313
1249411465,52
1253400106,142
1256056448,43
1256605111,133
1256716261,52
1258521018,187
1258637974,223
1260014396,178
1263040605,61
1265631618,142
1266135537,133
1266334120,124
1269333570,205
1270686385,88
1275115326,97
1276016541,151
1277751370,295
1278839092,52
1279953981,205
1280465527,187
1283218529,160
1284381893,178
1285086064,133
1290486051,250
1291646571,97
1292756461,169
1295054820,322
1300187548,70
1300796948,43
1308651226,61
1309048049,214
1313365923,151
1318240968,61
