time,gap_time
38220620,259
52202620,277
82876120,277
85068120,250
106672120,61
111975120,322
122994120,313
170908620,97
183621620,259
211619120,196
217099620,160
248184620,97
249744120,106
283563120,43
324065120,304
325652120,295
331861120,142
340979120,151
368935120,124
372505120,169
374556120,187
397631120,151
422240620,88
425689620,178
444742120,187
455007120,250
467594120,61
468235620,61
475835620,205
491961120,250
546138120,178
563722620,250
564623120,115
591303620,169
605599620,88
607266620,259
613075120,52
615413120,304
618111620,178
626860120,142
674494620,169
682201620,277
706597120,313
762862620,142
787482120,304
793536620,88
796936120,142
826806620,178
838812620,178
839880620,214
843746120,151
855949120,106
876520620,331
880829620,214
882487120,79
896606120,142
923058620,313
924495120,232
937507620,286
952933120,43
967152120,88
977151120,223
979344120,241
981989120,313
986521620,196
986877120,295
1011289120,52
1015715120,205
1023543120,268
1025415120,97
1025680620,205
1048017620,286
1084817620,232
1102413120,160
1105446120,178
1111628620,187
1112903620,250
1113962120,259
1120513120,160
1127209620,169
1182337120,70
1189455620,97
1189535620,259
1195376120,61
1219310120,52
1224155620,232
1269439120,151
1275640120,52
1288700620,241
1298470620,115
1317898620,196
1328495120,79
1330877620,142
1356709120,196
1376194620,259
1390470120,277
1400599620,133
1425086620,196
1426777620,88
1447557120,223
1454451120,196
1464085120,187
1476355120,232
1503198120,79
1504466120,106
1526305620,277
1549192620,241
1553671620,250
1582436120,241
1589965620,160
1591925620,322
1605131620,169
1610065120,259
1626946620,151
1638370620,106
1664310120,322
1683035120,142
1687610620,79
1688429620,214
1699796620,169
1731163620,169
1740682620,169
1759090120,97
1763873120,70
1792502120,295
1801125620,223
1810213620,313
1843280620,241
1856717620,178
1857666620,124
1859493620,133
1864660620,151
1873099120,142
1881018120,79
1881498620,250
1895384120,313
1906242120,304
1909351120,313
1931107620,241
1939236120,331
1943770120,259
1949459620,196
1965220120,322
1971086120,313
1972380620,322
2013391620,169
2060209620,295
2076384620,124
2089307620,61
2093228620,223
2097603620,259
2099596120,250
2110159620,322
2113194620,178
2147174120,115
2156255120,304
2171561620,142
2175188120,43
2203671120,232
2214275620,286
2234439120,223
2236804120,259
2239147120,178
2245599620,52
2256010620,304
2270382120,169
2287352120,277
2291487620,295
2302473120,331
2311248120,313
2337177620,196
2338752620,259
2347253120,18
2371037620,232
2371765620,241
2380336620,124
2381383620,133
2387248620,277
2388308620,214
2401177120,169
2421270620,106
2426590620,286
2432962620,160
2450388120,331
2455234120,250
2457580120,70
2482130120,61
2562448620,151
2565917620,259
2567637620,97
2603692620,79
2604512120,124
2606226120,97
2607968120,232
2668087620,142
2668127620,232
2676496120,187
2690414120,286
2692041620,88
2692104620,286
2722707620,115
2724362120,115
2729718120,70
2736086120,259
2794344120,88
2794451620,250
2795279120,259
2802294620,322
2826587620,88
2850285120,151
2880021620,124
2897451120,331
2911493620,61
2915010620,79
2928995620,205
2932170120,277
2946493620,142
2956704620,331
2968221120,277
2983797120,88
3015085120,331
3023482120,196
3026495620,223
3068499120,169
3104034620,106
3117021120,295
3121045620,187
3137618620,88
3162659120,232
3166218620,178
3169603620,115
3182801120,214
3191031620,61
3193371620,169
3195253120,79
3210502620,223
3232190120,142
3283916120,232
3287480120,214
3328917120,214
3340097620,304
3381733120,232
3389566620,97
3414574120,160
3434751620,259
3436076620,61
3449218620,133
3450997620,223
3457891620,169
3465511120,205
3488810620,322
3498356120,268
3515948620,115
3519840120,214
3555688120,178
3557201120,322
3561383120,286
3570901120,124
3609774120,196
3612591620,70
3622756120,232
3629637120,61
3689663620,313
3706425120,151
3718398120,286
3719561120,268
3732686620,205
3751651120,241
3762053620,115
3782313620,268
3792809620,277
3815595120,322
3835467120,268
3853508620,79
3863376620,151
3875286120,178
3878742120,178
3889834620,313
3903070120,61
3906250620,322
3909336120,250
3922362620,70
3934238120,151
3955224120,70
3955903620,43
3968152620,88
3974635620,79
3980535120,214
3985263620,70
3988189120,52
3999933620,43
4049420120,196
4068199620,151
4090843620,124
4100606120,304
4101217620,133
4106591120,124
4115002620,286
4128926120,187
4143761120,61
4177066620,232
4191722120,331
4197310620,322
4207927120,268
4227047620,52
4231296620,259
4245368120,214
4255068620,88
4325287120,70
4329024120,313
4330616120,322
4335763620,295
4342014620,241
4359736620,331
4360939620,178
4374537120,250
4397384120,70
4403962620,232
4404642620,322
4411406120,97
4430991620,268
4433552120,277
4450852120,169
4458555620,241
4469012120,286
4492688120,331
4521435620,169
4524109620,106
4533235620,133
4538153620,322
4566591620,250
4584597620,259
4589700620,70
4604239620,97
4609522620,79
4612703120,205
4624592120,259
4632704120,115
4654744620,79
4661639120,106
4673606120,43
4715277620,304
4730141620,88
4736695120,322
4753435620,142
4767815120,331
4771172120,88
4807862620,106
4826059120,241
4828196120,232
4844994620,322
4863118620,322
4867898120,52
4893380620,160
4894036620,223
4915395120,286
4916654120,322
4925631120,313
4956698620,106
4966054120,286
4966456120,52
4967604120,61
4969417120,70
4999410620,196
5005820620,268
5009321620,18
5043311620,106
5043941120,286
5056526120,304
5061457120,277
5061497120,268
5071904120,313
5079821120,313
5103971620,160
5113246620,214
5117393620,268
5121064120,115
5126123120,169
5146583620,43
5176701620,97
5198481120,106
5202311120,277
5204906620,52
5225501120,196
5269885620,286
5275440620,160
5309539120,331
5310679120,169
5350037120,70
5351281120,97
5377045620,214
5383171120,61
5384564620,61
5384780120,313
5400679120,79
5405307120,259
5452777620,97
5464663120,187
5480928120,70
5493028120,232
5494827120,268
5495771620,61
5496384120,151
5504278120,133
5515257120,133
5550952120,115
5565344120,70
5599438620,115
5601501120,124
5604075620,97
5636581120,331
5640793620,205
5650751620,133
5664998620,304
5689278120,241
5733120620,133
5743562620,151
5743625120,160
5786122120,223
5790968620,178
5832891120,196
5835777620,88
5842127620,97
5847888120,133
5851079120,232
5882660120,88
5907774120,88
5925454120,79
5932414620,169
5934563620,160
5958319620,133
5971867620,43
5990848620,79
5992839120,187
6004203120,304
6013882120,106
6025481620,178
6046615620,88
6081960620,88
6083709620,250
6086846120,70
6098573120,151
6102460120,331
6135881120,142
6142107120,151
6149917120,52
6154135620,259
6158707620,124
6159569120,52
6176736620,205
6214312620,259
6227809620,151
6229183120,61
6245367620,52
6270238120,79
6274143620,241
6296998620,151
6324478620,61
6372127620,259
6408231620,142
6418418620,214
6419002120,70
6507692620,196
6510776620,295
6575547120,79
6615302620,223
6622140620,115
6661898620,79
6663476120,250
6668467120,142
6674928620,169
6676438620,88
6691057120,268
6701884120,178
6772116620,88
6772326120,205
6779433120,205
6784656120,133
6788028620,187
6805586120,304
6827202620,241
6846628620,43
6855181120,70
6858587620,61
6859522120,115
6872981120,169
6886696120,106
6893450120,268
6908904120,61
6916123120,250
6965137120,214
6967507620,61
7037933620,43
7052916120,43
7056717620,43
7061107120,277
7061294120,133
7064506620,331
7074847620,124
7083316120,178
7112916620,196
7117980620,286
7147174120,133
7153281620,106
7171430620,61
7173307620,160
7173877620,214
7216418620,331
7223561120,196
7226527120,286
7283047620,286
7289653120,52
7290921120,142
7303406620,178
7305302120,286
7305953620,124
7306526120,187
7331241120,196
7339870120,295
7359513120,205
7364091120,205
7368133120,331
7368240620,277
7385890620,106
7396284120,214
7400187620,331
7400674120,79
7414084620,169
7418688120,241
7428361620,124
7448583620,106
7456364620,88
7517362620,331
7521683620,151
7532926620,151
7576210620,106
7580105620,322
7596640120,88
7596811120,88
7604921120,142
7614114620,79
7614690120,259
7617158120,115
7620507620,178
7636050120,142
7643365120,304
7656564620,43
7678191620,286
7681934120,52
7718829620,61
7740550620,250
7760987620,43
7762914120,250
7764039120,133
7786689120,313
7791147620,205
7795846120,178
7809844620,151
7815466120,52
7825393620,286
7832748120,106
7833155120,106
7834312120,133
7839018120,70
7859442620,331
7860450120,133
7890208120,196
7890729620,61
7900144120,43
7919727620,97
7927950620,250
7939849620,214
7950166120,124
7963776620,142
8014318620,70
8029697620,88
8046952620,205
8052022120,115
8076629620,196
8090238620,169
8090918620,88
8104757620,52
8118668620,151
8159628620,295
8176514620,259
8188176120,115
8192088620,133
8192794620,88
8202083120,151
8203497620,160
8215104120,178
8233856120,304
8241836620,133
8270807120,295
8289471620,43
8319792620,232
8328945120,205
8374209620,160
8379471120,187
8387946120,52
8389967620,295
8393634620,79
8394233120,142
8429053620,106
8444102620,115
8445449620,322
8450377120,133
8463887620,331
8480294120,106
8498399620,259
8529965620,142
8534493120,268
8559473620,106
8570328120,322
8576255120,241
8578894120,196
8609957620,250
8638118620,70
8638277120,43
8640701620,286
8658860120,277
8664375620,169
8668163120,43
8673043120,124
8693152120,115
8694488120,52
8742180620,70
8749960620,43
8750781620,232
8750883120,88
8753384120,214
8764569620,295
8782186120,268
8817283120,61
8818498620,331
8832361620,79
8842120120,286
8863674120,142
8867216120,142
8885278120,133
8887272120,259
8897657120,259
8900110620,97
8902413620,178
8921993120,232
8934618620,205
8944848620,88
8946172620,142
8963335120,52
8967009620,241
9021621120,205
9027415620,142
9040534620,313
9048782620,115
9081115120,322
9106192620,331
9147621620,52
9147844120,331
9163859120,133
9166300120,250
9195672620,115
9208957620,79
9223749620,295
9227943120,232
9229296120,106
9246999620,151
9247407120,178
9257051620,268
9303187120,61
9313992620,43
9333855620,61
9353825120,304
9357338620,160
9365126120,52
9367249120,241
9377208620,52
9382610620,124
9383569620,295
9384923620,43
9401742620,52
9405178120,268
9418719120,205
9420936120,268
9444041620,106
9452916120,331
9465255120,331
9465698120,124
9466508120,52
9487119620,313
9490530120,196
9497693120,295
9500667620,277
9529484120,178
9543777620,259
9553480120,43
9612494120,70
9615769120,178
9615938120,187
9619121120,142
9622163620,88
9632593120,214
9634812620,133
9680733120,124
9720153120,52
9720187120,79
9723966120,286
9728286120,322
9777006120,223
9799589120,250
9802262120,205
9804837620,97
9851753120,52
9868116620,43
9869478620,205
9877946620,115
9878994120,124
9899450620,322
9937563620,178
9942797120,151
9958381620,322
9960859620,196
9973617120,295
9980165620,142
9990531620,196
10011901120,151
10029435120,43
10042274620,70
10045448120,295
10057521620,97
10058525620,277
10060320120,52
10061773120,88
10064965620,259
10070892120,97
10092287620,196
10099538120,61
10106214620,277
10130152620,88
10180804620,169
10195940620,205
10196235620,178
10206435620,232
10215742120,178
10220332120,214
10232326120,52
10247513120,61
10250796120,277
10268477620,277
10273531620,196
10277929120,88
10281873620,205
10288496620,70
10321692120,88
10322251120,97
10325060120,214
10347765120,133
10348945620,205
10368968120,124
10387026120,250
10388157120,196
10400440120,187
10438687120,70
10457837120,43
10466113120,277
10466544120,88
10485528620,205
10501814120,151
10508360620,178
10522303120,250
10546012620,178
10564174620,70
10572801620,142
10575596620,133
10582231620,313
10587603120,214
10629866120,205
10644276120,187
10661806620,124
10666335620,277
10683901620,124
10684854120,70
10691066120,133
10704009120,115
10713024620,79
10719806620,241
10722136120,97
10764459120,187
10766708620,142
10785501620,214
10786255120,214
10791516120,232
10794142120,61
10801085120,277
10805688620,61
10810683620,115
10820989120,178
10836850620,250
10840102120,331
10869160620,52
10869194620,151
10882169620,88
10929077620,61
10934088120,187
10948966120,106
10956994620,232
10964619620,178
10995538620,313
11005251620,241
11008253120,277
11010267120,232
11010623620,106
11017319620,313
11029089120,322
11029833120,259
11032601120,88
11046276620,187
11067287620,106
11115678120,70
11128280620,160
11135997620,241
11143886620,286
11148905620,52
11150946120,43
11156883120,151
11165589120,133
11182149620,106
11186435620,97
11187606620,232
11189652120,250
11191181120,43
11196636620,88
11197648620,43
11198875620,277
11201579120,295
11215657120,196
11245089620,124
11262409620,106
11280054120,295
11301326120,52
11307241620,223
11311107120,295
11348405620,295
11348644620,277
11355526620,277
11362640620,52
11366282620,79
11390503620,205
11413367620,196
11421407620,133
11426371120,214
11433015620,313
11437898620,151
11466182620,241
11475380620,178
11478620120,88
11496649120,214
11517931120,214
11527610620,70
11528183120,124
11532066120,115
11533242620,151
11535928620,196
11560591620,61
11596190120,295
11614620120,160
11619120120,79
11631735120,250
11631854620,115
11653431620,70
11665426120,214
11720632620,322
11781824120,169
11791368120,106
11896509620,313
11921271620,79
11936887120,214
11953518620,79
11968367620,133
11978617620,268
12007238620,205
12011737120,52
12019795120,160
12045774620,142
12046735120,268
12099806620,70
12104274120,61
12125117120,205
12133831120,97
12136676620,205
12165828120,106
12185094620,70
12208855620,52
12223510120,43
12229959120,223
12234296120,187
12235556620,151
12253406120,43
12270291120,52
12314164620,214
12327894620,295
12344652620,214
12360144620,43
12379700120,88
12384917620,52
12392042620,286
12393519120,160
12409233620,250
12449466120,61
12475894620,223
12500157120,214
12509499620,97
12510269120,259
12511694620,52
12538934120,250
12546370620,151
12588800620,331
12595407620,322
12608713620,88
12653764620,304
12658217120,322
12679206620,178
12685041620,205
12685795620,133
12707283120,115
12716246120,331
12735733620,313
12831409620,259
12867949620,106
12876893620,61
12896507120,250
12929657120,52
12946077120,223
12956253620,322
12969768120,106
12990891120,322
12998029120,178
13022520120,106
13030753620,187
13033408120,124
13035029620,70
13056064620,286
13097758620,124
13105829620,88
13131107120,43
13143321120,286
13152961620,88
13188719620,277
13191632120,196
13197254620,79
13205108620,322
13206322620,331
13207716120,70
13232030120,61
13234604120,241
13253039120,205
13255873120,151
13267054620,79
13268081120,286
13281821120,286
13290557620,196
13294921620,241
13295181120,241
13314731620,52
13337768120,52
13352659120,322
13354105620,196
13394631620,187
13408283620,331
13415917120,70
13423571620,214
13442355620,115
13445910120,79
13452332120,43
13472814620,196
13494846620,205
13529681620,79
13558981120,169
13580704120,232
13587005620,241
13592959120,295
13595442120,70
13612972620,259
13617454120,223
13624928620,106
13625353620,97
13631562120,133
13631664120,97
13638397120,88
13642530620,160
13674959620,304
13681549620,142
13684777620,196
13698320620,88
13746904620,232
13767850620,250
13771446620,286
13776726120,169
13778487120,268
